Displayname,Alertname,TimeRaised,TimeStopped,TimePeriod,Time Of Day,Share,HourofDay,Day,Month
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 01:13,01/08/2017 01:18,301, 01:18,10.03%,1,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 06:23,01/08/2017 06:53,1800, 06:53,60.00%,6,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 07:33,01/08/2017 07:48,900, 07:48,30.00%,7,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 08:23,01/08/2017 08:33,601, 08:33,20.03%,8,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 09:03,01/08/2017 09:08,301, 09:08,10.03%,9,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 10:13,01/08/2017 10:33,1199, 10:33,39.97%,10,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 12:23,01/08/2017 12:28,302, 12:28,10.07%,12,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 14:28,01/08/2017 14:38,600, 14:38,20.00%,14,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 16:33,01/08/2017 16:38,300, 16:38,10.00%,16,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 18:33,01/08/2017 18:43,601, 18:43,20.03%,18,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 20:53,01/08/2017 21:08,901, 21:08,30.03%,20,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/08/2017 23:13,01/08/2017 23:23,600, 23:23,20.00%,23,1,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 00:33,02/08/2017 00:38,300, 00:38,10.00%,0,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 02:38,02/08/2017 03:08,1800, 03:08,60.00%,2,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 03:53,02/08/2017 03:58,301, 03:58,10.03%,3,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 04:38,02/08/2017 05:13,2101, 05:13,70.03%,4,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 06:38,02/08/2017 06:58,1202, 06:58,40.07%,6,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 08:33,02/08/2017 08:38,299, 08:38,9.97%,8,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 10:43,02/08/2017 10:48,299, 10:48,9.97%,10,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 12:48,02/08/2017 12:53,301, 12:53,10.03%,12,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 14:48,02/08/2017 14:58,601, 14:58,20.03%,14,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 16:48,02/08/2017 17:13,1500, 17:13,50.00%,16,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 20:53,02/08/2017 21:03,601, 21:03,20.03%,20,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/08/2017 22:53,02/08/2017 23:23,1800, 23:23,60.00%,22,2,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 00:58,03/08/2017 01:13,901, 01:13,30.03%,0,3,Jul
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/08/2017 02:58,03/08/2017 03:03,300, 03:03,10.00%,2,3,Jul
