Displayname,Alertname,TimeRaised,TimeStopped
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/09/2017 06:32,01/09/2017 07:32
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/09/2017 08:32,01/09/2017 09:17
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/09/2017 17:32,01/09/2017 17:42
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/09/2017 21:37,01/09/2017 22:32
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,01/09/2017 23:37,02/09/2017 00:07
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 03:42,02/09/2017 04:07
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 05:47,02/09/2017 06:02
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 07:20,02/09/2017 07:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 09:20,02/09/2017 09:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 11:20,02/09/2017 12:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 13:25,02/09/2017 14:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 15:15,02/09/2017 15:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 17:20,02/09/2017 18:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 19:30,02/09/2017 20:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 21:30,02/09/2017 21:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,02/09/2017 23:30,03/09/2017 00:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 01:45,03/09/2017 01:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 03:35,03/09/2017 04:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 05:35,03/09/2017 06:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 07:35,03/09/2017 08:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 09:40,03/09/2017 10:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 11:40,03/09/2017 12:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 13:45,03/09/2017 14:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 15:45,03/09/2017 16:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 17:45,03/09/2017 18:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 19:45,03/09/2017 20:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 21:50,03/09/2017 22:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,03/09/2017 23:50,04/09/2017 00:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 01:50,04/09/2017 02:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 03:55,04/09/2017 04:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 05:55,04/09/2017 06:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 07:15,04/09/2017 07:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 10:20,04/09/2017 10:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 12:35,04/09/2017 13:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 14:00,04/09/2017 15:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 17:50,04/09/2017 18:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 20:10,04/09/2017 20:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,04/09/2017 22:10,04/09/2017 22:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 02:10,05/09/2017 02:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 06:15,05/09/2017 06:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 07:20,05/09/2017 07:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 09:50,05/09/2017 10:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 12:15,05/09/2017 12:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 16:15,05/09/2017 16:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 18:20,05/09/2017 18:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 20:25,05/09/2017 20:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 22:25,05/09/2017 23:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 02:30,06/09/2017 02:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 06:30,06/09/2017 06:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 07:15,06/09/2017 08:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 10:30,06/09/2017 10:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 12:35,06/09/2017 13:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 14:35,06/09/2017 14:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 16:40,06/09/2017 17:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 18:50,06/09/2017 19:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 20:40,06/09/2017 21:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 22:45,06/09/2017 23:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 00:45,07/09/2017 01:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 02:45,07/09/2017 03:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 04:50,07/09/2017 05:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 06:45,07/09/2017 07:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 08:50,07/09/2017 09:00
